age_category,activity,cal,exercise
62,Low,Low,Aerobic
27,Medium,Low,Resistant
58,High,High,Yoga
68,High,Low,Yoga
24,Medium,Medium,Resistant
22,Medium,High,Resistant
24,High,High,Resistant
37,Low,Low,Resistant
32,Medium,Medium,Resistant
32,High,Low,Resistant
56,Low,Medium,Aerobic
43,Medium,Low,Yoga
44,Low,High,Resistant
52,High,Medium,Yoga
33,Low,Low,Resistant
24,Medium,High,Resistant
60,Medium,Medium,Yoga
32,Low,High,Resistant
35,Medium,Low,Resistant
40,Low,Low,Resistant
54,High,Low,Yoga
43,Low,High,Resistant
49,Medium,Medium,Resistant
48,High,Medium,Yoga
47,Medium,Medium,Resistant
26,Medium,Low,Resistant
36,Low,Low,Resistant
49,Low,High,Resistant
60,Low,Medium,Yoga
64,Medium,Medium,Yoga
50,High,High,Aerobic
45,Low,Medium,Resistant
34,Medium,Low,Resistant
39,High,Low,Resistant
45,Medium,High,Resistant
23,Low,High,Resistant
65,High,Medium,Yoga
58,Medium,High,Aerobic
65,High,High,Yoga
50,Low,Medium,Resistant
43,High,Low,Aerobic
38,High,Low,Resistant
49,Medium,Medium,Resistant
29,Low,High,Resistant
38,Medium,Medium,Resistant
64,Low,Medium,Yoga
69,High,Medium,Yoga
65,Low,High,Aerobic
62,Medium,Low,Aerobic
44,High,Medium,Aerobic
35,Medium,Low,Resistant
49,Medium,Low,Yoga
52,High,Medium,Yoga
55,Medium,Low,Aerobic
70,Medium,Low,Aerobic
41,Low,Low,Aerobic
44,Medium,High,Resistant
31,Low,Low,Resistant
68,High,High,Yoga
65,Medium,Low,Yoga
23,Medium,High,Resistant
68,Medium,High,Aerobic
24,High,Medium,Resistant
36,Low,Low,Resistant
49,Medium,Low,Yoga
39,High,High,Resistant
44,High,Low,Yoga
55,High,High,Yoga
47,High,High,Aerobic
24,Medium,Medium,Resistant
42,Low,Medium,Resistant
37,High,Medium,Resistant
40,Medium,High,Resistant
41,High,High,Aerobic
66,High,Low,Yoga
64,High,Medium,Yoga
55,High,High,Yoga
62,Medium,High,Aerobic
50,Medium,Low,Aerobic
43,High,Medium,Yoga
49,Low,Low,Aerobic
50,High,Low,Aerobic
37,Low,Medium,Resistant
42,High,Medium,Aerobic
63,Low,Low,Aerobic
67,High,Medium,Yoga
46,High,Medium,Aerobic
56,Low,High,Aerobic
43,High,Low,Yoga
54,Medium,Low,Aerobic
