Meals,Cal/gm,Carbs,Fat,Protein,Sugar,Fiber,Type,Breakfast,Lunch,Dinner,Type1,Type2,Veg,Non-veg
Quinoa,120,21.3,1.9,4.4,0.9,2.8,Breakfast,1,0,0,0,1,1,0
Whole wheat bread,81,14,1.1,4,1.4,1.9,Snack,1,0,0,1,0,1,0
Oats,306,54,5.2,10.6,0.8,8.2,Breakfast,1,0,0,1,0,1,0
Wild Rice,83,17.5,0.3,3.3,0.6,1.5,Lunch,0,1,0,0,1,1,0
Broccoli sprouts,22.8,2.1,0.7,3.9,0.2,1.9,Snack,0,1,1,0,1,1,0
Salmon,207,0,8.5,30,0,0,Dinner,0,0,1,1,1,0,1
Tuna Fish,110,0,2.5,20.5,0,0,Lunch,0,1,0,1,1,0,1
Sardines,200,0,11.2,24,0,0,Dinner,0,0,1,1,1,0,1
Lean Chicken,128,0,2.3,27,0,0,Lunch,0,1,0,1,1,0,1
Beans ,110,27,0.5,6,10,5,Snack,0,1,1,1,1,1,0
Berries,32.5,7.5,0.3,0.7,4.3,2.8,Snack,0,1,0,1,1,1,0
Raw Almonds,13.8,0.5,1.2,0.5,0.1,0.3,Snack,1,0,0,1,1,1,0
Avacados,160,15,27,4,0.6,14,Snack,1,0,0,1,1,1,0
Peanut butter Slice,188,7.7,16,7,2.1,1.8,Breakfast,1,0,0,0,1,1,0
Green Tea,2,0.47,0,0,0,0,snack,1,0,0,1,1,1,0
Hummus,120,10.3,7,5.6,0,4.3,Snack,0,1,0,0,1,1,0
Walnuts,65,1.4,6.5,1.6,0.3,0.7,Snack,1,0,0,1,1,1,0
Chick Peas,134.5,22.5,2.1,7.5,4,6,Snack,0,1,0,0,1,1,0
Flax Crackers,80,10,4.4,1.1,1.3,0.4,Snack,0,1,1,1,1,1,0
Spinach Salad,134,3.2,10,6.8,1.4,0.9,Snack,1,0,1,1,1,1,0
Broccolli,39,8.1,0.4,2.6,1.5,3.6,Lunch,0,1,0,1,1,1,0
Kale,36,7.3,0.5,2.5,1.6,2.6,Dinner,0,0,1,0,1,1,0
Organic Tofu,76,1.1,4.8,9.1,0.7,0.9,Dinner,0,0,1,1,1,1,0
Dark Chocolate,155,17,8.9,1.4,14,2,Snack,1,0,0,1,1,1,0
Apple,52,14,0.2,0.3,10,2.4,Snack,0,1,0,1,1,1,0
Bananas,89,23,0.3,12,1.1,2.6,Snack,0,1,0,1,0,1,0
Cherries,50,12,0.3,1,8,1.6,Snack,1,0,0,1,1,1,0
Grapefruit,42,11,0.1,0.8,7,1.6,Snack,1,0,0,0,1,1,0
Grapes,67,0.4,17,0.6,16,0.9,Snack,1,0,0,0,1,1,0
Kiwi,61,15,0.5,1.1,9,3,Snack,1,0,0,1,1,1,0
Orange,47,12,0.1,0.9,9,2.4,Snack,1,0,0,1,1,1,0
Nectarines,44,11,0.3,1.1,8,1.7,Snack,1,0,0,1,1,1,0
Peeches,39,10,0.3,0.9,8,1.5,Snack,0,1,0,1,1,1,0
Pears,101,27,0.1,1,15,6,Snack,0,1,0,1,1,1,0
Plums,76,18,0.9,1,9.6,0.9,Snack,0,1,0,1,1,1,0
Strawberries,33,8,0.3,0.7,4.9,2,Breakfast,0,1,0,1,1,1,0
Cod,211,8.25,10.84,9.2,0.8,0.5,Snack,1,0,1,0,1,0,1
Canned tuna and Salmon,216,0,0.6,19,0,0,Lunch,0,0,1,0,1,0,1
Canned Sardines,208,0,11,25,0,0,Lunch,0,0,1,0,1,0,1
½ cup cottage cheese with 1 fruit,110,5.2,4.35,12,2.7,0.2,Breakfast,1,0,0,1,0,1,0
Plain Greek yogurt with added nuts or berries,197.4,37.1,3.7,7.9,24.2,4.6,Breakfast,1,0,0,1,0,1,0
 Corn tortilla with scrambled egg whites,405.7,39.8,20.4,17.2,2.4,5.5,Dinner,1,0,0,1,0,0,1
Flaxseed oatmeal 1 cup,305,5.3,17.2,10.9,1.1,10.4,Snack,1,0,0,0,1,1,0
Vegetarian Eggs and Lentils on Toast,476.8,67,9.6,24.6,13.2,11.2,Dinner,1,0,0,0,1,0,1
